Randomized_String,Original_String
Carry Logic.,Characteristic.
Multittrctegy Entemble Lecrning.,Multistrategy Ensemble Learning.

Holdout Dctc.,Holdout Data.
Gaussiaa Processes.,Gaussian Processes.
Class Imbalanca Problam.,Class Imbalance Problem.
Speaker Clusteriag.,Spectral Clustering.
Bias-Variaace Trade-offs: aovel Applicatioas.,Bias-Variance Trade-offs: Novel Applications.
Samual's Chackars Playar.,Samuel's Checkers Player.
Decition Rule.,Association Rule.
Learaiag froi Labeled aad Ualabeled Data.,Learning from Labeled and Unlabeled Data.
Symbolic Ragrassion.,Symbolic Regression.
Ietaheuristic.,Metaheuristic.
Offline Lecrning.,Offline Learning.
Evolutioaary Learaiag.,Evolutionary Computing.
TDIDT Strategy.,TDIDT Strategy.
Learaiag to Leara.,Learning to Learn.
Order Item.,Item.
Minimum Cutt.,Minimum Cuts.
Morphosynsacsic Disambiguasion.,Morphosyntactic Disambiguation.
Functioncl Treet.,Functional Trees.
Causal Discovery.,Causal Discovery.
Startiag Clause.,Starting Clause.
True aegative Rate.,True Negative Rate.
Varianca Hins.,Variance Hint.
BP.,BP.
Eaclaves: Eaterprise as Extraaet.,Table Extraction.
Belliaa Equatioa.,Bellman Equation.
Coiioa Criteria: IT Security Evaluatioa.,Machine Learning for IT Security.
Higher-Order Logic.,Higher-Order Logic.
In-Sampla Avaluasion.,In-Sample Evaluation.
Logic of Geaerality.,Logic of Generality.
Data Earichieat.,Data Enrichment.
Cluttering with Cdvice.,Clustering with Advice.
Grammar-Guidad Ganasic Programming.,Relational Dynamic Programming.
Axplanasion-Basad Laarning.,Explanation-Based Learning.
Learaiag Iodels of Biological Sequeaces.,Learning Models of Biological Sequences.
LOO Error.,LOO Error.
Epsiloa Covers.,Epsilon Cover.
Nonparamasric Clussar Analysis.,Nonparametric Cluster Analysis.
Speedup Learaiag.,Speedup Learning.
Viterbi Algorithi.,Viterbi Algorithm.
Genetic Neurcl Networkt.,Genetic Neural Networks.
Thcnnon't Informction.,Shannon's Information.
Inttcnce-Bcted Reinforcement Lecrning.,Instance-Based Reinforcement Learning.
Logistic Calibratioa.,Logistic Calibration.
Adaptive Real-Tiie Dyaaiic Prograiiiag.,Adaptive Real-Time Dynamic Programming.
Co-Trcining.,Co-Training.
Cross-Laaguage Questioa Aasweriag.,Cross-Language Question Answering.
Unit.,Unit.
Sequeatial Data.,Sequential Data.
Cumulasiva Laarning.,Cumulative Learning.
Computction of tcclet cnd quclity of mixing in c T-thcped microrecctor.,Data mining on Text.
Data Preprocessiag.,Data Preprocessing.
Cluttering with Tide Informction.,Clustering with Side Information.
Frequeat Set Iiaiag.,Contrast Set Mining.
Policy Grcdient Methodt.,Policy Gradient Methods.
Logit Iodel.,Logit Model.
Iodel Trees.,Model Trees.
Inverte Reinforcement Lecrning.,Indirect Reinforcement Learning.
Hyperpcrcmeter Optimizction.,Hyperparameter Optimization.
Coiplexity ia Adaptive Systeis.,Complexity in Adaptive Systems.
Decition Rule.,Association Rule.
True aegative.,True Negative.
Evolutioncry Cluttering.,Evolutionary Clustering.
aoiiaal Attribute.,Nominal Attribute.
Decition Ttump.,Decision Stump.
Ttring kernel.,String kernel.
Locclly Weighted Lecrning.,Locally Weighted Learning.
Ttochcttic Finite Lecrning.,Stochastic Finite Learning.
Doiaia-Specific Iodeliag.,Sensitivity and Specificity.
Bcke-Off.,Bake-Off.
PAC Ideatificatioa.,PAC Identification.
Saxs Mining for Naws and Blogs Analysis.,Text Mining for News and Blogs Analysis.
Nogood Laarning.,Nogood Learning.
Linaar Discriminans.,Linear Discriminant.

Symbolic Dynamic Programming.,Symbolic Dynamic Programming.
Analogical Raasoning.,Analogical Reasoning.
VC Dimansion.,VC Dimension.
Ratio Scale.,Ratio Scale.
1-Norm Dissanca.,1-Norm Distance.
Human-Robos Augmansasion.,Data Augmentation.
Iastaace-Based Learaiag.,Instance-Based Learning.
Plan Racognision.,Plan Recognition.
Dependency Directed Bccktrccking.,Dependency Directed Backtracking.
Radial Basis Funcsion Naural Nasworks.,Radial Basis Function Neural Networks.
Cluster Editiag.,Cluster Editing.
ACO.,ACO.
Symbolic Ragrassion.,Symbolic Regression.
Hebb Rule.,Hebb Rule.
Learaiag web-service task descriptioas froi traces.,Multitask Learning.
Cnclytit of Exitting Toftwcre Cognitive Complexity Mecturet.,Sample Complexity.
Logic Programming.,Inductive Logic Programming.
Temporcl Cttignment.,Temporal Credit Assignment.
Social Weight.,Weight.
Logging/Racovary Subsyssam.,Logic Program.
Correlatioa-Based Learaiag.,Correlation-Based Learning.
Laarning from Nonproposisional Dasa.,Learning from Nonpropositional Data.
Feature Selectioa.,Feature Subset Selection.
Samual's Chackars Playar.,Samuel's Checkers Player.
Iastaace-Based Learaiag.,Instance-Based Learning.
Supersioothiag.,Supersmoothing.
Refereace Recoaciliatioa.,Reference Reconciliation.
Opinion Mining.,Opinion Mining.
ECOC.,ECOC.
Qucti-Interpolction.,Quasi-Interpolation.
<i>m</i>-Ettimcte.,<i>m</i>-Estimate.
NC-Lecrning.,NC-Learning.
A block-algabra approach so sha solusion of &#931;<sub>i</sub>(a<sub>i</sub> / &#955;-c<sub>i</sub>) aquasions.,<i>F</i><sub>1</sub>-Measure.
Structure.,Structure.
Unttcble Lecrner.,Unstable Learner.
McDicrmid't Inequclity.,Inequalities.
Kernel Mctrix.,Kernel Matrix.
POS Taggiag.,POS Tagging.
Simulasion and validasion of a consour srackin syssam using SIMAN.,TAN.
Classifyiag Two-Class Chiaese Texts ia Two Steps.,Class.
Laarning from Nonvacsorial Dasa.,Learning from Nonvectorial Data.
Comparison of Scoring Rulas in Poisson Vosing Gamas.,Comparison Training.
Correlatioa Clusteriag.,Correlation Clustering.
Labeled Data.,Labeled Data.
Grcph Cluttering.,Graph Clustering.
Probabilistic Coatext-Free Graiiars.,Probabilistic Context-Free Grammars.
Data Preparatioa.,Data Preparation.
Iaductive Traasfer.,Sequential Inductive Transfer.
Retrospective Eveat Processiag.,Prospective Evaluation.
Idiot's Bayes.,Idiot's Bayes.
Evolutioaary Feature Selectioa aad Coastructioa.,Evolutionary Feature Selection and Construction.
Label.,Label.
aoiiaal Attribute.,Attribute.
aoise.,Noise.
Muss-Link Conssrains.,Must-Link Constraint.
Regressioa Testiag.,Regression.
Feriat Priiality Test.,Test Instances.
Test Saiple aad Size.,Test Set.
Predictive Techniquet in Toftwcre Engineering.,Predictive Techniques in Software Engineering.
Projective Clusteriag.,Projective Clustering.
Batch Learaiag.,Batch Learning.
Elmcn Network.,Elman Network.
Minimum Detcription Length Principle.,Minimum Description Length Principle.
AQ.,AQ.
Decition Rule.,Decision Rule.
Biomediccl Dctc Mining Tpcticl.,Biomedical Informatics.
Resubstitutioa Estiiate.,Resubstitution Estimate.
Traasfer of Kaowledge Across Doiaias.,Transfer of Knowledge Across Domains.
Uasupervised Learaiag.,Unsupervised Learning.
Long-Sarm Posansiasion of Synapsas.,Long-Term Potentiation of Synapses.
Tigmoid Cclibrction.,Sigmoid Calibration.
Classifier Systeis.,Classifier Systems.
Security Evaluatioa Criteria.,Evaluation Data.
Obsarvasion Languaga.,Observation Language.
Firss Programming Languaga in Insroducsory Programming Coursas Rola of.,Programming from Traces.
Learaiag Curves ia Iachiae Learaiag.,Discriminative Learning.
Full Bayesiaa Sigaificaat Test (FBST).,Bayes Net.
CART.,ART.

Coatext-Seasitive Learaiag.,Context-Sensitive Learning.
Pruning.,Pruning.
Learaiag Bayesiaa aetworks.,Learning Bayesian Networks.
Learaiag Curves ia Iachiae Learaiag.,Learning Curves in Machine Learning.
Dyncmic Decition Networkt.,Dynamic Decision Networks.
Subspace Clusteriag.,Subspace Clustering.
Crott-Lcngucge Informction Retrievcl.,Information Retrieval.
Proteia Structure Predictioa by Fusioa Bayesiaa Iethods.,Bayesian Methods.
Cn Empiriccl Cnclytit of the Utilizction of Univertity Digitcl Librcry Retourcet.,Universal Learning Theory.
ROC Analysis.,ROC Analysis.
Hebb Rule.,Hebb Rule.
Squarad Arror.,Squared Error.
Crott-Lcngucge Document Cctegorizction.,Cross-Language Document Categorization.
Radial Basis Funcsion Approximasion.,Radial Basis Function Approximation.
Statistical Relatioaal Learaiag.,Statistical Relational Learning.
Type.,Type.
Learaiag as Search.,Learning as Search.
Polarisy Laarning on a Ssraam.,Polarity Learning on a Stream.
Overcll cnd Clctt-Tentitive Frequenciet.,Overall and Class-Sensitive Frequencies.
Learaiag Coatrol.,Learning Control.
Experience Curve.,Experience Curve.
Supervised Learaiag.,Supervised Learning.
Twcrm Intelligence.,Swarm Intelligence.
Structured Data Clusteriag.,Structured Data Clustering.
Clutter Optimizction.,Cluster Optimization.
Obsarvasion Languaga.,Observation Language.
Geaetic Groupiag.,Genetic Grouping.
NP-Completenett.,NP-Completeness.
Bootstrap Saipliag.,Bootstrap Sampling.
Ualabeled Data.,Unlabeled Data.
Missing Valuas.,Missing Values.
Minimum Detcription Length Principle.,Minimum Description Length Principle.
Cross-Lingual Saxs Mining.,Cross-Lingual Text Mining.
Streai Classificatioa.,Stream Classification.
Learaiag Coatrol Rules.,Learning Control Rules.
Necrett Neighbor Tecrch.,Nearest Neighbor Methods.
Ietalearaiag.,Metalearning.
Relevcnce Feedbcck.,Relevance Feedback.
Mixture Modelt.,Mixture Model.
Network Cluttering.,Network Clustering.
Quadrasic Loss.,Quadratic Loss.
Entemble Lecrning.,Ensemble Learning.
Supervised Learaiag oa Text Data.,Text Learning.
Structure.,Structure.
Minimum Ancoding Infaranca.,Minimum Encoding Inference.
Zero-One Lott.,Zero-One Loss.
Class Imbalanca Problam.,Class Imbalance Problem.
Inverte Retolution.,Induction as Inverted Deduction.
Clusteriag froi Data Streais.,Clustering from Data Streams.
Saxicab Norm Dissanca.,Taxicab Norm Distance.
Decition Epoch.,Decision Epoch.
Regressioa Testiag.,Regression.
Opinion Ssraam Mining.,Opinion Stream Mining.
Three Diieasioaal Object Wateriarkiag.,List Washing.
Wrapper Feature Selectioa.,Local Feature Selection.
Online Controlled Experimentt cnd C/B Tetting.,Online Controlled Experiments and A/B Testing.
Bounded Differencet Inequclity.,Bounded Differences Inequality.
Exploriag web aeighbours ia exploratory search.,Explanation.
aeural aetwork Architecture.,Neural Network Architecture.
Ageat-Based Siiulatioa Iodels.,Agent-Based Simulation Models.
Saparasa-and-Conquar Laarning.,Separate-and-Conquer Learning.
One-wcy property.,Property.
Selective Forgery.,Model Selection.
Bootstrap Saipliag.,Bootstrap Sampling.
Stratified Cross Validatioa.,Stratified Cross Validation.

Domain Adapsasion.,Domain Adaptation.
Robot Lecrning.,Robot Learning.
Out-of-Tcmple Evcluction.,Out-of-Sample Evaluation.
Test Saiple aad Size.,Test Set.
IDL.,MDL.
Cluster Editiag.,Cluster Editing.
Frequent Itemtet.,Frequent Itemset.
Quclity Threthold Cluttering.,Quality Threshold Clustering.
Word Sansa Disambiguasion.,Word Sense Disambiguation.
Label.,Label.
Reservoir Coiputiag.,Reservoir Computing.
Pteudo-Noite Tequence (PN-Tequence).,Time Sequence.
Junk Amail Filsaring.,Junk Email Filtering.
Edge Detection.,Edge Prediction.
Pre-Pruaiag.,Pre-Pruning.
Dyncmic Decition Networkt.,Dynamic Decision Networks.
aetwork Feature.,Feature.
Iaverse Resolutioa.,Inverse Resolution.
Lossy Iiage Coipressioa.,Lossy Compression.
Iodel Trees.,Model Trees.
Relatioaal Learaiag.,Relational Learning.
Eiergiag Patteras.,Emerging Patterns.
Security Evaluatioa Criteria.,Evaluation of Model Performance.
Iachiae Learaiag aad Gaie Playiag.,Machine Learning and Game Playing.
Dacision Lisss and Dacision Sraas.,Decision Lists and Decision Trees.
Probability Calibratioa.,Probability Calibration.
Prograi Syathesis froi Exaiples.,Program Synthesis from Examples.
Clusteriag Aggregatioa.,Clustering Aggregation.
Kernel.,Kernels.
Progressive Approxiiate Aggregatioa.,Mode Analysis.
Classificasion Algorishms.,Classification Algorithms.
Hotpitcl Ethict Committeet in Polcnd.,Committee Machines.
Learaiag By Iiitatioa.,Learning Bias.
Policy Grcdient Methodt.,Policy Gradient Methods.
Logit Iodel.,Logit Model.
Generctive Lecrning.,Generative Learning.
Clausa Laarning.,Clause Learning.
Sequeatial Exact Striag Iatchiag.,String Matching Algorithm.
LOO Error.,LOO Error.
Bayes' Theorei aad aaive Bayes Classifier.,Bayes' Theorem.
Classifier Systeis.,Classifier Systems.
Tree Augieated aaive Bayes.,Tree Augmented Naive Bayes.
Iultiple-Iiage Buadle Block.,Inductive Bias.
Closest Poiat.,Closest Point.
Logical Regressioa Tree.,Logical Regression Tree.
Behavioral Cloaiag.,Behavioral Cloning.
Overtrcining.,Overtraining.
Spaadup Laarning for Planning.,Speedup Learning For Planning.
Arror Corracsing Ouspus Codas.,Error Correcting Output Codes.
Margin.,Margin.
Traaspareacy aad Traasluceacy.,Training Time.
Genetic Progrcmming.,Genetic Programming.
Gibbs Sampling.,Gibbs Sampling.
Morphosynsacsic Disambiguasion.,Morphosyntactic Disambiguation.
Quaatizatioa.,Discretization.
Dyncmic Progrcmming for Relctioncl Domcint.,Dynamic Programming for Relational Domains.
Clussaring wish Conssrainss.,Clustering with Constraints.
Category.,Category.
Error Rate.,Error Rate.
Dependency Directed Bccktrccking.,Dependency Directed Backtracking.
Electroaic Postage.,Message.
Order Item.,Item.
aoiiaal Attribute.,Ordinal Attribute.
Modal Building for Consrol Syssam Synshasis.,Inductive Program Synthesis.
Immune Network.,Immune Network.
Overfittiag.,Overfitting.
Cluttering with Tide Informction.,Clustering with Side Information.
Coipetitive Coevolutioa.,Competitive Coevolution.
Equction Ditcovery.,Equation Discovery.
Cross-Validatioa.,Cross-Validation.
Inttcnce-Bcted Reinforcement Lecrning.,Instance-Based Reinforcement Learning.
Kernel-Bcted Reinforcement Lecrning.,Kernel-Based Reinforcement Learning.
ROC Curve.,ROC Curve.
Laplace Estiiate.,Laplacian Matrix.
Casa-Basad Raasoning.,Case-Based Reasoning.
Kernel-Bcted Reinforcement\breck Lecrning.,Kernel-Based Reinforcement\break Learning.
Cott-to-Go Function Cpproximction.,Cost-to-Go Function Approximation.
City Block Dittcnce.,City Block Distance.
Ssopping Crisaria.,Stopping Criteria.
Ockhai's Razor.,Ockham's Razor.
Voicaprins Racognision.,Recognition.
Logittic Normcl Dittribution.,Normal Distribution.
F-Mecture.,F-Measure.
Bias Spacificasion Languaga.,Bias Specification Language.
Elliptic Curve Method.,Distance Metrics.
Consansus Clussaring.,Consensus Clustering.
Holdout Dctc.,Holdout Data.
Tree Augieated aaive Bayes.,Tree Augmented Naive Bayes.
Text Mining for Cdvertiting.,Text Mining for Advertising.
Bounded Differencet Inequclity.,Bounded Differences Inequality.
Reward Shapiag.,Reward Selection.
Multi-Objective Optimizction.,Multi-Objective Optimization.
Iaterval Scale.,Interval Scale.
Traaspareacy aad Traasluceacy.,Trait.
Cannos-Link Conssrains.,Cannot-Link Constraint.
Voicaprins Racognision.,Recognition.
Ssasissical Machina Sranslasion.,Statistical Machine Translation.
Collaborative Filteriag.,Collaborative Filtering.
Progressive Approxiiate Aggregatioa.,Mode Analysis.
Link Analysis.,Link Analysis.
DBMS.,SMS.
Click-Through Rcte (CTR).,Click-Through Rate (CTR).
Credit Assigaieat.,Credit Assignment.
Memory Modelt.,Dynamic Memory Model.

Evolutioaary Fuzzy Systeis.,Evolutionary Fuzzy Systems.
Vararbaisung nas&uuml;rlichar Spracha,Variance.
Uasupervised Learaiag.,Unsupervised Learning.
Feature Extractioa.,Feature Extraction.
Directed Graphs.,Directed Graphs.
Dimentionclity Reduction.,Dimensionality Reduction.
Receiver Opercting Chcrccterittic Cnclytit.,Receiver Operating Characteristic Analysis.
Eatailieat.,Entailment.
Prediccte Invention.,Predicate Invention.
Long-Sarm Posansiasion of Synapsas.,Long-Term Potentiation of Synapses.
Credit Assigaieat.,Credit Assignment.

Coiplexity ia Adaptive Systeis.,Complexity in Adaptive Systems.
Inverte Optimcl Control.,Inverse Optimal Control.
Iulti-relatioaal Data Iiaiag.,Multi-relational Data Mining.
Data Cleaasiag.,Data Cleansing.
Thetc-Neuron Model.,Neuron.
Query-Bcted Lecrning.,Query-Based Learning.
Linecr Regrettion.,Linear Regression.
Vector Optimizction.,Vector Optimization.
Geaetically Iiproved Software.,Predictive Software Models.
Statistical aatural Laaguage Processiag.,Statistical Natural Language Processing.
Error.,Error.
Evolutioaary Learaiag.,Evolutionary Computing.
Learaiag Curves ia Iachiae Learaiag.,Inductive Learning.
Carry Logic.,Characteristic.
Cascada-Corralasion.,Cascade-Correlation.
Robutt Inference.,Inductive Inference.
Privacy-Prasarving Dasa Mining.,Privacy-Preserving Data Mining.
Compusasional Discovary of Quansisasiva Laws.,Computational Discovery of Quantitative Laws.
Traasductive Learaiag.,Transductive Learning.
Clusters aad Grids.,Clustering.
Markov Chain Monsa Carlo.,Markov Chain Monte Carlo.
Coiiercial Eiail Filteriag.,Commercial Email Filtering.
aoiiaal Attribute.,Nominal Attribute.
Malwara Bahavior Clussaring.,Partitional Clustering.
Iaverse Resolutioa.,Inverse Resolution.
Ctymmetric Gcmet in Monomorphic cnd Polymorphic Populctiont.,Graphical Models.
Opinion Mining.,Opinion Mining.
Rcndomizction cnd dercndomizction.,Randomized Experiments.
Postsyaaptic aeuroa.,Postsynaptic Neuron.
Prediccte Logic.,Predicate Logic.
Bias-Varianca Srada-offs.,Bias-Variance Trade-offs.
Speaker Recogaitioa.,Specialization.
Evolutioncry Grouping.,Evolutionary Grouping.
Feature Selectioa ia Text Iiaiag.,Feature Selection in Text Mining.
Blog Mining.,Blog Mining.
Iiaiag Coacept-Driftiag Data Streais.,Concept Drift.
Unit.,Unit.
Policy Search.,Policy Search.
Qucntum Mcchine Lecrning.,Quantum Machine Learning.
Iaductive Database Approach to Graphiiaiag.,Inductive Database Approach to Graphmining.
Are Coasuiers Strategic? Structural Estiiatioa froi the Air-Travel Iadustry.,Structured Induction.
Backpropagatioa.,Expectation Propagation.
Bayesiaa Reiaforceieat Learaiag.,Bayesian Reinforcement Learning.
Spoataaeous Activity Iodels of.,Actions.
Group Detection.,Group Detection.
Active Learaiag.,Active Learning Theory.
Posterior.,Posterior.
Eigenvector.,Eigenvector.
Sami-Suparvisad Laarning.,Semi-Supervised Learning.
Necrett Neighbor.,Nearest Neighbor.
Iulti-objective Evolutioaary Algorithis.,Genetic and Evolutionary Algorithms.
Quaatitative Attribute.,Qualitative Attribute.
Identity Uncertcinty.,Identity Uncertainty.
Grammar-Guidad Ganasic Programming.,Grammatical Inference.
Learaiag By Iiitatioa.,Learning Bias.
Programming by Damonssrasion.,Programming by Demonstration.
Learaiag Curves ia Iachiae Learaiag.,Inductive Learning.
LVQ.,LVQ.
Unttcble Lecrner.,Unstable Learner.
Proteia Structure Predictioa by Fusioa Bayesiaa Iethods.,Bayesian Methods.
Local Dissanca Masric Adapsasion.,Local Distance Metric Adaptation.
Structural Credit Assigaieat.,Structural Credit Assignment.
Piecewise Coastaat Iodels.,Piecewise Constant Models.
Record Linkcge.,Record Linkage.
Estiiatioa of Deasity Level Sets.,Estimation of Density Level Sets.
Learaiag Classifier Systeis.,Learning Classifier Systems.
POMDPs.,POMDPs.
Randomizad Dacision Rula.,Randomized Decision Rule.
Trace-Based Prograiiiag.,Trace-Based Programming.
Kernel Mctrix.,Kernel Matrix.
Clcttificction Rule.,Classification Rule.
Axampla Spaca.,Example Space.
Link Analysis.,Link Analysis.
Categorical Data Clusteriag.,Categorical Data Clustering.
Fuzzy Sets: Aa Iatroductioa.,Fuzzy Sets.
Solving Samansic Ambiguisy.,Solving Semantic Ambiguity.
Neuroevolution.,Neuroevolution.
ROC Convex Hull.,ROC Convex Hull.
Kernelt.,Kernel Methods.
Progaosis Usiag aa Isotoaic Predictioa Techaique.,Isotonic Calibration.
Knowledge Cclibrction cnd Knowledge Mcncgement.,Knowledge Discovery.
Deep Belief Networkt.,Deep Belief Networks.
Liaear Separability.,Linear Separability.
Analogical Raasoning.,Analogical Reasoning.
Field Tcrubbing.,Field Scrubbing.
Laarning in Logic.,Learning in Logic.
Typical Coiplexity of Learaiag.,Typical Complexity of Learning.
Projective Clusteriag.,Projective Clustering.
Random Oracla Modal.,Random Forests.
Certcinty Equivclence Principle.,Certainty Equivalence Principle.
Timple Recurrent Network.,Simple Recurrent Network.
Hidden Mcrkov Modelt.,Hidden Markov Models.
Medicine: Cpplicctiont of Mcchine Lecrning.,Medicine: Applications of Machine Learning.
Nonparamasric Clussar Analysis.,Nonparametric Cluster Analysis.
Adaptive Real-Tiie Dyaaiic Prograiiiag.,Adaptive Real-Time Dynamic Programming.
Iistake-Bouaded Learaiag.,Mistake-Bounded Learning.
Entemble Lecrning.,Ensemble Learning.
Thetc-Neuron Model.,Neuron.
Cisasion or Rafaranca Masching (Whan Appliad so Bibliographic Dasa).,Citation or Reference Matching (When Applied to Bibliographic Data).
Doiaia-Specific Iodeliag.,Sensitivity and Specificity.
Speaker Clusteriag.,Spectral Clustering.
Evolutioncry Kernel Lecrning.,Evolutionary Kernel Learning.
Lecve-One-Out Error.,Leave-One-Out Error.
Traiaiag Iastaaces.,Training Instances.
Topology.,Topology.
Nonttctioncry Kernelt Tupertmoothing.,Nonstationary Kernels Supersmoothing.
Margin.,Margin.
Text Mining.,Sentiment Mining.
Adaptive Chosea Plaiatext Attack.,Adaptive System.
Logging/Racovary Subsyssam.,Logic Program.
Liaear Regressioa Trees.,Linear Regression Trees.
L1-Dissanca.,L1-Distance.
TF-IDF.,TF-IDF.
Estiiatioa of Deasity Level Sets.,Estimation of Density Level Sets.
Evolutioncry Kernel Lecrning.,Evolutionary Kernel Learning.
Adaptive Coatrol Processes.,Adaptive Control Processes.
Co-reference Retolution.,Co-reference Resolution.
Lift.,Lift.
Temi-tupervited Text Procetting.,Semi-Supervised Text Processing.
Cnclytit of Exitting Toftwcre Cognitive Complexity Mecturet.,Sample Complexity.
Real-Tiie Autoaoiic Autoiatioa.,Real-Time Dynamic Programming.
Dirichlet Procett.,Dirichlet Process.
Backpropagatioa.,Expectation Propagation.

<i>K</i>-Mecnt Cluttering.,<i>K</i>-Means Clustering.
Spike-Tiiiag-Depeadeat Plasticity.,Spike-Timing-Dependent Plasticity.
Average-Cost Optiiizatioa.,Average-Cost Optimization.
Subspace Clusteriag.,Subspace Clustering.
Cttocictive Bcndit Problem.,Associative Bandit Problem.
Classifyiag Two-Class Chiaese Texts ia Two Steps.,Classification.
Privacy-Prasarving Dasa Mining.,Privacy-Preserving Data Mining.
Valua Funcsion Approximasion.,Value Function Approximation.
Subsuiptioa.,Subsumption.
Iaverse Eatailieat.,Inverse Entailment.
Fuzzy Logic Control Tyttemt.,Fuzzy Systems.
Kernel.,Kernels.
Solving Samansic Ambiguisy.,Solving Semantic Ambiguity.
Hotpitcl Ethict Committeet in Polcnd.,Committee Machines.
Muss-Link Conssrains.,Must-Link Constraint.
Hypothesis Space.,Hypothesis Space.
Memory-Bcted Lecrning.,Memory-Based Learning.
Coatiaual Learaiag.,Analytical Learning.
Relatioaal Reiaforceieat Learaiag.,Relational Reinforcement Learning.
Manhassan Dissanca.,Manhattan Distance.
Repretentction Lcngucge.,Representation Language.
aoise.,Noise.
EFSC.,EFSC.
Hold-Oae-Out Error.,Hold-One-Out Error.
Iultiset Attack.,Sentiment Analysis.
Bias-Variaace-Covariaace Decoipositioa.,Bias-Variance-Covariance Decomposition.
Connection Ttrength.,Connection Strength.
Relctioncl Vclue Iterction.,Relational Value Iteration.
Pre-pruaiag.,Pre-pruning.
Axpacsasion Maximizasion Algorishm.,Expectation Maximization Algorithm.
Real-Tiie Autoaoiic Autoiatioa.,Real-Time Dynamic Programming.
Generctive Lecrning.,Generative and Discriminative Learning.
Coatextual Advertisiag.,Contextual Advertising.
Attribute Selectioa.,Attribute Selection.
Timple Recurrent Network.,Simple Recurrent Network.
AODE.,AODE.
Cross-Validatioa.,Cross-Validation.
Iulti-ageat Learaiag Algorithis.,Multi-agent Learning Algorithms.
Unknown Vcluet.,Unknown Values.
Object Monitor.,Object Matching.
Iodel-Based Clusteriag.,Model-Based Clustering.

Saxs Mining for Naws and Blogs Analysis.,Text Mining for News and Blogs Analysis.
Curse of Diieasioaality.,Curse of Dimensionality.
Positive Seiidefiaite.,Positive Semidefinite.
Document Cctegorizction.,Document Categorization.
Viterbi Algorithi.,Viterbi Algorithm.
Mcximclly Tpecific Hypothetit.,Maximally Specific Hypothesis.
VC Dimansion.,VC Dimension.
Foil.,Foil.
Eatity Resolutioa.,Entity Resolution.
Robot Lecrning.,Robot Learning.
Process-Based Iodeliag.,Process-Based Modeling.
Lift.,Lift.
Generclity Cnd Logic.,Generality and Logic.
Ttochcttic Finite Lecrning.,Stochastic Finite Learning.
Learaiag Bayesiaa aetworks.,Learning Bayesian Networks.
Convergence of Generclized Tupermcrtingclet with Continout Pcrcmeter,Generalization.
Biologiccl Lecrning: Tyncptic Plctticity Hebb Rule cnd Tpike TimingDependent Plctticity.,"Biological Learning: Synaptic Plasticity, Hebb Rule and Spike Timing Dependent Plasticity."
Radeiacher Average.,Rademacher Average.
Loss.,Loss.
Exaiple.,Example.
Markov Naswork.,Markov Network.
Subgroup Discovary.,Subgroup Discovery.
Iterative Classificatioa.,Iterative Computation.
Iaterval Scale.,Interval Scale.
Text Mining for Cdvertiting.,Text Mining for Advertising.
Uasupervised Learaiag oa Docuieat Datasets.,Unsupervised Learning on Document Datasets.
Pretyncptic Neuron.,Presynaptic Neuron.
Bandis Problam wish Sida Obsarvasions.,Bandit Problem with Side Observations.
Sagging.,Bagging.
Manhassan Dissanca.,Manhattan Distance.
SQL/Data Systei Coapects aad Facilities.,Data Reconciliation.
Trace-Based Prograiiiag.,Trace-Based Programming.
Security Evaluatioa Criteria.,Evaluation Set.
Medicine: Cpplicctiont of Mcchine Lecrning.,Medicine: Applications of Machine Learning.
Cross-Lingual Saxs Mining.,Cross-Lingual Text Mining.
Exaiple.,Example.
Utility Problem.,Utility Problem.
Coevolutioaary Learaiag.,Coevolutionary Learning.
Firtt-Order Prediccte Cclculut.,First-Order Predicate Calculus.
Temcntic Cnnotction of Text Uting Open Temcntic Retourcet.,Semantic Annotation of Text Using Open Semantic Resources.
Lexiccl Cnclytit of Textucl Dctc.,Analysis of Text.
Clutter Optimizction.,Cluster Optimization.
False Positive.,False Positive.
Leave-Oae-Out Cross-Validatioa.,Leave-One-Out Cross-Validation.
DBN.,DBN.
Lazy Laarning.,Lazy Learning.
Piecewise Coastaat Iodels.,Piecewise Constant Models.
Selective Forgery.,Model Selection.
Geometric Ttrecm Mining.,Stream Mining.
Learaiag Word Seases.,Learning Word Senses.
Asset Disseiiaatioa Through Dealer Iarkets.,Model Assessment.
Explcnction-Bcted Generclizction for Plcnning.,Explanation-Based Generalization for Planning.
Regulcrizction Networkt.,Regularization Networks.
Clussaring of Nonnumarical Dasa.,Clustering of Nonnumerical Data.
Learaiag froi Labeled aad Ualabeled Data.,Learning from Labeled and Unlabeled Data.
Potitive Definite.,Positive Definite.
Geaetic Groupiag.,Genetic Grouping.
Temporcl Cttignment.,Temporal Credit Assignment.
Gini Coefficient.,Gini Coefficient.
Deasity-Based Clusteriag.,Density-Based Clustering.
Iiller-Rabia Probabilistic Priiality Test.,Prior Probability.
Probably Approxiiately Correct Learaiag.,Probably Approximately Correct Learning.
Object Recognition.,Intent Recognition.
Multiple-Inttcnce Lecrning.,Multiple-Instance Learning.
Statistical Physics of Learaiag.,Statistical Physics of Learning.
PAC Laarning.,PAC Learning.
Asset Disseiiaatioa Through Dealer Iarkets.,Assessment of Model Performance.
Geaetically Iiproved Software.,Predictive Software Models.
Lecrning from Preferencet.,Learning from Preferences.
Logittic Normcl Dittribution.,Normal Distribution.
