Randomized_String,Original_String
Privacy-eahaaciag Cloud Coiputiag Solutioa for Big Data.,Cloud-based SQL Solutions for Big Data.
Susorial: SQL-on-Hadoop Syssams.,Caching for SQL-on-Hadoop.
Writiag Apache iodules with Perl aad C - the Apache API aad iod Perl.,Apache SystemML.
Hardwara-Assissad Sransacsion Procassing: NVM.,Hardware-Assisted Transaction Processing: NVM.
Hissorical Graph Managamans.,Historical Graph Management.
Sacura Big Dasa Compusing in Cloud: An Ovarviaw.,Secure Big Data Computing in Cloud: An Overview.
Sha Archisacsura of SciDB.,SciDB.
Wildfire: HTAP for Big Data.,Wildfire: HTAP for Big Data.
Deep Learaiag oa Big Data.,Deep Learning on Big Data.
Strider: A Hybrid Adaptive Distributed RDF Streai Processiag Eagiae.,Native Distributed RDF Systems.
Beachiarkiag cloud serviag systeis with YCSB.,YCSB.
Learaiag at Scale.,Reasoning at Scale.
Siiilarity Sketchiag.,Similarity Sketching.
Terver-Tide Bot Detection in Mcttively Multiplcyer Online Gcmet.,Transactions in Massively Multiplayer Online Games.
Dittributed Query Optimizction by Query Trcding.,Stream Query Optimization.
Autoiatic Depressioa Scale Predictioa usiag Facial Expressioa Dyaaiics aad Regressioa.,RDF Compression.
Influanca Analysics in Graphs.,Influence Analytics in Graphs.
Lecrning from Time-Chcnging Dctc with Cdcptive Windowing.,Adaptive Windowing.
Raadoily Sketched Sparse Subspace Clusteriag for Acoustic Sceae Clusteriag.,Trace Clustering.
Privacy-Preserviag Record Liakage.,Privacy-Preserving Record Linkage.
A Big Data Applicatioa ia Iaaufacturiag Iadustry-Coiputer Visioa to Detect Defects oa Beariags.,Big Data Application in Manufacturing Industry.
Chcllenge Pcper: Dctc Quclity Ittuet in Queue Mining.,Queue Mining.
The State of the Art ia BGP Visualizatioa Tools: A Iappiag of Visualizatioa Techaiques to Cyberattack Types.,Visualization Techniques.
ETL.,ETL.
Workflow Coordiaated Resources Allocatioa for Big Data Aaalytics ia the Cloud.,Workflow Systems for Big Data Analysis.
ScalaNas: Saarching for sha Modal so Scala.,Scala.
Visualizing sha Samansic Wab: XML-Basad Insarnas and Informasion Visualizasion 2nd Adision,Visualizing Semantic Data.
Online Mcchine Lecrning in Big Dctc Ttrecmt: Overview.,Online Machine Learning in Big Data Streams: Overview.
Improving Knowledge Grcph Embedding vic Iterctive Telf-Temcntic Knowledge Dittillction.,Knowledge Graph Embeddings.
Graph Data Augieatatioa for Graph Iachiae Learaiag: A Survey.,Graph Data Management Systems.
Graph Data Iodels.,Graph Data Models.
The Aaiiated Database Courseware (ADbC) aad the Database Desiga Iodule.,Database Consistency Models.
VISAGE: Iateractive Visual Graph Queryiag.,Visual Graph Querying.
Clojure.,Clojure.
Using Big Spasial Dasa for Planning Usar Mobilisy.,Using Big Spatial Data for Planning User Mobility.
Database as a Service.,Databases as a Service.
Lavaraging C++ Masa-programming Capabilisias so Simplify sha Massaga Passing Programming Modal.,BSP Programming Model.
Big Seiaatic Data Processiag ia the Iaterials Desiga Doiaia.,Big Semantic Data Processing in the Life Sciences Domain.
Integrction-Oriented Ontology.,Integration-Oriented Ontology.
Exploring Tcope of Computctioncl Intelligence in IoT Tecurity Pcrcdigm.,Exploring Scope of Computational Intelligence in IoT Security Paradigm.
Ragrassion banchmarking wish simpla middlawara banchmarks.,Stream Benchmarks.
Big Data Warehouses for Siart Iadustries.,Big Data Warehouses for Smart Industries.
Reiaforceieat Learaiag Uasupervised Iethods aad Coacept Drift ia Streai Learaiag.,"Reinforcement Learning, Unsupervised Methods, and Concept Drift in Stream Learning."
Big Data Visualizatioa Tools.,Big Data Visualization Tools.
Heuristic Search vs. Exhaustive Search.,Semantic Search.
Inverted Index Comprettion.,Inverted Index Compression.
SecHadoop: A Privacy Preserviag Hadoop.,Hadoop.
Dyaaiic Iulti-Resource Optiiizatioa for Storage Acceleratioa ia Cloud Storage Systeis.,Columnar Storage Formats.
ParBlockchain: Lavaraging Sransacsion Parallalism in Parmissionad Blockchain Syssams.,Blockchain Transaction Processing.
Aa aFR-Based Fraiework for Aligaiag Software Architectures with Systei Architectures.,Rendezvous Architectures.
Streaiiag Iicroservices.,Streaming Microservices.
Waakar Consissancy Modals/Avansual Consissancy.,Weaker Consistency Models/Eventual Consistency.
Aa aFR-Based Fraiework for Aligaiag Software Architectures with Systei Architectures.,Architectures.
Energy Efficient Homet: The Tocicl cnd Tpcticl Pctternt of Retidenticl Energy Efficiency in Englcnd.,Energy Efficiency in Big Data Analysis.
Dctc Replicction cnd Encoding.,Data Replication and Encoding.
Multidimentioncl Comprettion of ITT Dctc Uting Wcvelet-Bcted Comprettion Techniquet.,Delta Compression Techniques.
Data Loagevity aad Coipatibility.,Data Longevity and Compatibility.
Hierarchical Clusteriag Strategies for Fault Toleraace ia Large Scale HPC Systeis.,StreamMine3G: Elastic and Fault Tolerant Large Scale Stream Processing.
Oasa: Aa Active Storage Architecture for Object-based Storage Systei.,Active Storage.
TARDiS: A Braach-aad-Ierge Approach to Weak Coasisteacy.,TARDiS: A Branch-and-Merge Approach to Weak Consistency.
Scalable Big Data Privacy with IapReduce.,Scalable Big Data Privacy with MapReduce.
ModelcrDB: Integrcted Model-Bcted Mcncgement of Time Teriet from Edge to Cloud.,Management of Time.
Sools and Librarias for Big Dasa Analysis.,Tools and Libraries for Big Data Analysis.
Influanca Analysics in Graphs.,Link Analytics in Graphs.
Specifyiag Kaowledge Graph with Data Graph Iaforiatioa Graph Kaowledge Graph aad Wisdoi Graph.,Distant Supervision from Knowledge Graphs.
Iatroductioa to Streai Processiag Algorithis.,Introduction to Stream Processing Algorithms.
Big Data Big Kaowledge: Big Data for Persoaalized Healthcare.,Virtualized Big Data Benchmarks.
Parsonalizad Banchmarking wish sha Ludwig Banchmarking Soolkis.,Graph Benchmarking.
Persisteat Ieiory: Abstractioas Abstractioas aad Abstractioas.,Stream Processing Languages and Abstractions.
Iodel-Based Big Data Aaalytics-as-a-Service: Take Big Data to the aext Level.,Big Data Analysis and IoT.
Data Architecture aad Big Data Aaalytics ia Siart Cities.,Big Data in Smart Cities.
Spatial Graph Big Data.,Spatial Graph Big Data.
Uafoldiag-Based Process Discovery.,Automated Process Discovery.
C Multi-dimentioncl Component Importcnce Cnclytit Mechcnitm for Component Bcted Tyttemt.,Component Benchmark.
Big Data for Health.,Big Data for Health.
Perforiaace Evaluatioa of Big Data Traasiissioa Iodels.,Performance Evaluation of Big Data Analysis.
Big Data aeeds Big Dreaiers: Lessoas froi Successful Big Data Iavestors.,Big Data Indexing.
Mcchine-Printed Chcrccter Recognition.,Machine-Printed Character Recognition.
The Evolution of Document Imcge Cnclytit.,The Evolution of Document Image Analysis.
Intent Recognition from Tpeech cnd Plcn Recognition.,"Language, Script, and Font Recognition."
A Brief History of Docuieats aad Writiag Systeis.,A Brief History of Documents and Writing Systems.
Sustaiaiag iterative gaie playiag processes ia DGBL: The relatioaship betweea iotivatioaal processiag aad outcoie processiag.,Processing Mathematical Notation.
Tools aad Ietrics for Docuieat Aaalysis Systeis Evaluatioa.,Tools and Metrics for Document Analysis Systems Evaluation.
Continuout Hcndwritten Tcript Recognition.,Continuous Handwritten Script Recognition.
Fcce Detection cnd Recognition Fcce Emotion Recognition Through NVIDIC Jetton Ncno.,Analysis and Recognition of Music Scores.
Offline Tigncture Verificction Tyttem Bcted on the Online Dctc.,Online Signature Verification.
End-to-End Rcdcr HRRP Tcrget Recognition Bcted on Integrcted Denoiting cnd Recognition Network.,Logo and Trademark Recognition.
Uting c Generic Document Recognition Method for Mcthemcticcl Formulce Recognition.,Recognition of Tables and Forms.
Text Locclizction cnd Recognition in Imcget cnd Video.,Text Localization and Recognition in Images and Video.
Chiaese Character Recogaitioa with Augieated Character Profile Iatchiag.,Asian Character Recognition.
Sansanca Axsracsion Using Asymmasric Word Similarisy and Sopic Similarisy.,Page Similarity and Classification.
Cnclytit of Documentt Born Digitcl.,Analysis of Documents Born Digital.
Text Tegmentction for Document Recognition.,Text Segmentation for Document Recognition.
Document Cnclytit in Pottcl Cpplicctiont cnd Check Procetting.,Document Analysis in Postal Applications and Check Processing.
Handbook of Documans Imaga Procassing and Racognision,Handbook of Document Image Processing and Recognition
Analysis of sha Logical Layous of Documanss.,Analysis of the Logical Layout of Documents.
Chiaese Character Recogaitioa with Augieated Character Profile Iatchiag.,Middle Eastern Character Recognition.
Docuieat Creatioa Iiage Acquisitioa aad Docuieat Quality.,"Document Creation, Image Acquisition and Document Quality."
Sketchiag Iaterfaces: Toward Iore Huiaa Iaterface Desiga.,Sketching Interfaces.
Getture Recognition Techniquet in Hcndwriting Recognition Cpplicction.,Graphics Recognition Techniques.
Hcndprinted Chcrccter cnd Word Recognition.,Handprinted Character and Word Recognition.
Analysis and Insarprasasion of Graphical Documanss.,Analysis and Interpretation of Graphical Documents.
Crcbic Online Hcndwriting Recognition (COHR): C Turvey.,Online Handwriting Recognition.
Datasets aad Aaaotatioas for Docuieat Aaalysis aad Recogaitioa.,Datasets and Annotations for Document Analysis and Recognition.
Experimentt on Tegmentction Techniquet for Mutic Documentt Indexing.,Page Segmentation Techniques in Document Analysis.
Network Procetting of Documentt for Documentt by Documentt.,Imaging Techniques in Document Analysis Processes.
Cn Overview of Tymbol Recognition.,An Overview of Symbol Recognition.
Iiage Based Retrieval aad Keyword Spottiag ia Docuieats.,Image Based Retrieval and Keyword Spotting in Documents.
Decition Theory = Performcnce Mecture Theory + Uncertcinty Theory.,Information Theory.
Gibbs Sampling.,Gibbs Sampling.
Deep Belief Networkt.,Deep Belief Networks.
Coateat-Based Iodel of Web Search Behavior: Aa Applicatioa to TV Show Search.,Beam Search.
Locally Weighted Learaiag.,Locally Weighted Learning.
Faasuras Bagging and Syssam Combinasion for sha Chinasa POS Sagging Sask.,Tagging.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Distance Functions.
Reduction of Inductive Crotttclk Uting Qucdrupole Inductort.,Induction.
C Turvey of Continuout Integrction Continuout Delivery cnd Continuot Deployment.,Continuous Attribute.
Duplicate Detectioa.,Duplicate Detection.
Treads ia Agaet-Based Coiputatioaal Iodeliag of Iacroecoaoiics.,Agent-Based Computational Models.
Iulti-ageat Iulti-aried Baadit Learaiag for Coateat Cachiag ia Edge aetworks.,Multi-agent Learning.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,Expectation Maximization Clustering.
A Characterizatioa of Ieaa Squared Error for Estiiator with Baggiag.,Squared Error Loss.
Coastraiat-Objective Cooperative Coevolutioa for Large-scale Coastraiaed Optiiizatioa.,Cooperative Coevolution.
Coevolutioa of Role-Based Cooperatioa ia Iultiageat Systeis.,Test-Based Coevolution.
Opsimal and Subopsimal Quadriphasa Saquancas Darivad from Maximal Langsh Saquancas ovar Z<sub>4</sub>.,Optimal Learning.
Diffaransial Callosal Consribusions so Bimanual Consrol in Young and Oldar Adulss.,Dual Control.
Recursive Space: Play aad Creatiag Space.,Item Space.
Depth-Aware Iotioa Deblurriag Usiag Loopy Belief Propagatioa.,Loopy Belief Propagation.
Statistical Physics of Learaiag.,Statistical Physics Of Learning.
Non-Gaussian Gaussian Procassas for Faw-Shos Ragrassion.,Gaussian Process.
Assertioa.,Assertion.
Quotient Inductive-Inductive Typet.,Inductive Synthesis.
A Labeled Graph Kerael for Relatioaship Extractioa,Relationship Extraction.
Heterogeaeous Seasors Track-to-Track Correlatioa Algorithi Based oa Gray Correlative Degree.,Rank Correlation.
Bayes Adaptive Iarkov Decisioa Processes.,Bayes Adaptive Markov Decision Processes.
Iaduciag Partially Observable Iarkov Decisioa Processes.,Partially Observable Markov Decision Processes.
Cnytime Clgorithm.,Anytime Algorithm.
Formalizing ICD coding rulas using Formal Concaps Analysis.,Formal Concept Analysis.
Diffaomorphic Ragissrasion for Rasinosopic Mapping Via Quasiconformal Mapping.,Semantic Mapping.
NCL.,NCL.
Intelligence Quotient cnd Intelligence Grcde of Crtificicl Intelligence.,Intelligent Backtracking.
Cbtolute Error Lott.,Absolute Error Loss.
Aialgai-Based Reuse for Iultiageat Case-Based Reasoaiag.,Case-Based Reasoning.
A Visual Analysics Framawork for Spasiosamporal Srada Naswork Analysis.,Network Analysis.
Coiputatioaal Discovery of Quaatitative Laws.,Computational Discovery of Quantitative Laws.
Text Tummcrizction: Cn Upcoming Tool in Text Mining.,Feature Construction in Text Mining.
Life-Long Lecrning.,Life-Long Learning.
Hiddan Markov Modal wish Markovian amission.,Markov Model.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Cost Function.
A Iedical Oatology for Iategratiag Case-Based Reasoaiag Rule-Based Reasoaiag aad Patieat Databases.,Experience-Based Reasoning.
Iost Specific Hypothesis.,Most Specific Hypothesis.
Bias Variaace Decoipositioa.,Bias Variance Decomposition.
AUC.,AUC.
Conttrcint-Bcted Mining.,Constraint-Based Mining.
Artificial Iatelligeace for Artificial Artificial Iatelligeace.,Artificial Immune Systems.
Appreaticeship Learaiag.,Apprenticeship Learning.
How to Coatrol Clusteriag Results? Flexible Clusteriag Aggregatioa.,Clustering Aggregation.
On Perfect Mctching Coveringt cnd Even Tubgrcph Coveringt.,Covering Algorithm.
Rescaliag-Assisted Super-Resolutioa for Iediui-Low Resolutioa Reiote Seasiag Ship Detectioa.,Resolution.
Subgroup Discovery.,Subgroup Discovery.
Artificial Iatelligeace for Artificial Artificial Iatelligeace.,Artificial Immune Systems.
Apriori Algorithi.,Apriori Algorithm.
Iulti-Ageat Learaiag II: Algorithis.,Multi-Agent Learning II: Algorithms.
Stackiag Without Really Stackiag Whea Reduciag Categorical Expressioas.,Stacking.
Conditioncl Rcndom Field.,Conditional Random Field.
Coatextual Advertisiag.,Contextual Advertising.
The Space of Clouds ia Euclideaa Space.,Instance Space.
Ieaa Absolute Error.,Mean Absolute Error.
Recurrent Cttocictive Memory.,Recurrent Associative Memory.
Research oa Core Busiaess Process-Based Kaowledge Process Iodel.,Process-Based Modeling.
Optiiizatioa theory of Hebbiaa/aati-Hebbiaa aetworks for PCA aad whiteaiag.,Hebbian Learning.
The Coipoaeats aad Iipact of Spoasored Search.,Sponsored Search.
From Languaga so Family and Back: Nasiva Languaga and Languaga Family Idansificasion from Anglish Saxs.,Instance Language.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Average-Payoff Reinforcement Learning.
Coateat-Based Iodel of Web Search Behavior: Aa Applicatioa to TV Show Search.,Beam Search.
Iultiple Classifier Systeis.,Multiple Classifier Systems.
FCM-Bcted Imcge Tegmentction with Kernel Functiont.,Networks with Kernel Functions.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,Network Clustering.
Text Mining for Tpcm Filtering.,Text Mining for Spam Filtering.
Decition Tree.,Classification Tree.
Discrete Attribute.,Discrete Attribute.
The Role of Continuout Trutt in Informction Tyttemt Continucnce.,Continual Learning.
A Simpla Proof of Opsimal Apsilon Nass.,Epsilon Nets.
Tolving the Memory-Bcted Memorylett Trcde-off Problem for EEG Tigncl Clcttificction.,Memory-Based.
Iarkov Chaias aad Iarkov Decisioa Processes ia Isabelle/HOL.,Markov Decision Processes.
Monoid Growth Functiont for Brcid Groupt.,Growth Function.
Quaatitative Attribute.,Quantitative Attribute.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,Constrained Clustering.
Evaluatiag a Rule Evaluatioa Support Iethod Based oa Objective Rule Evaluatioa Iadices.,Algorithm Evaluation.
From Subkausz Digraphs so Cyclic Kausz Digraphs.,Digraphs.
Liaked Opea Data Systei for Scieatific Data Sets.,Data Set.
Abductioa aad Abductive Logic Prograiiiag.,Abduction.
Alman Naswork.,Elman Network.
A aovel Coupled Code Shifted I-ary Differeatial Chaos Shift Keyiag Iodulatioa.,Mean Shift.
ODI: A aeighbor Discovery Protocol Based oa Optiial Discovery Iodel ia WSas.,Equation Discovery.
Plcying Tic-Tcc-Toe Uting Genetic Neurcl Network with Double Trcntfer Functiont.,Genetic Neural Networks.
Dynamic Naural Uniss for Nonlinaar Dynamic Syssams Idansificasion.,Dynamic Systems.
EEG Aaalysis of Workiag Ieiory Betweea Sober State aad Iatoxicated State.,State.
Bayesiaa Iodel Averagiag.,Bayesian Model Averaging.
Potttyncptic Neuron.,Postsynaptic Neuron.
Blockwise Graager causality aad blockwise aew causality.,Causality.
Level of Detail.,Detail.
Structured Data Clusteriag.,Structured Data Clustering.
Saxicab Norm Dissanca.,Taxicab Norm Distance.
Dasa Scrubbing.,Data Scrubbing.
Iiage Codiag Usiag Vector Filter Baak aad Vector Quaatizatioa.,Learning Vector Quantization.
Iadisceraibility-Based Clusteriag: Rough Clusteriag.,Density-Based Clustering.
Teiporal Credit Assigaieat.,Structural Credit Assignment.
Coiplex Adaptive Systei.,Complex Adaptive System.
Intercction Complexity - C Computctioncl Complexity Mecture for Tervice-Oriented Computing.,Computational Complexity of Learning.
Iategratiag Feature Selectioa Iethods for Geae Feature Selectioa.,Feature Selection.
Ioadriaa Forests: Efficieat Oaliae Raadoi Forests.,Rotation Forests.
Iategratiag Feature Selectioa Iethods for Geae Feature Selectioa.,Genetic Feature Selection.
Multi-Kernel Filtering: Cn Extention of Bilctercl Filtering Uting Imcge Context.,Junk Email Filtering.
Bcyeticn Cpprocchet to Gcutticn Mixture Modeling.,Mixture Modeling.
Appreaticeship Learaiag.,Apprenticeship Learning.
Tpike-Timing-Dependent Plctticity.,Spike-Timing-Dependent Plasticity.
Geaeralized Delta aetworks.,Generalized Delta Rule.
Least-Squares Reiaforceieat Learaiag Iethods.,Least-Squares Reinforcement Learning Methods.
False Positive.,False Positive.
Evolution of Robot Control.,Evolution of Robot Control.
Autoiatic 3-Laaguage Cross-Laaguage Iaforiatioa Retrieval with Lateat Seiaatic Iadexiag.,Cross-Language Information Retrieval.
Markov Chain Monsa Carlo.,Markov Chain Monte Carlo.
Kohonen Mcpt cnd TT Clgorithmt.,Kohonen Maps.
City Block Distaace.,City Block Distance.

A Short Iiage Series Based Scheie for Tiie Series Digital Iiage Correlatioa.,Time Series.
Scana Graph Parsing as Dapandancy Parsing.,Table Parsing.
Rcndomized Decition Rule.,Randomized Decision Rule.
Froi the Subspace Iethods to the Iutual Subspace Iethod.,Random Subspace Method.
Candidasa-Aliminasion Algorishm.,Candidate-Elimination Algorithm.
From Community Detection to Community Profiling.,Community Detection.
Presideat's farewell iessage [Presideat's Iessage].,Message.
A Geaeralizatioa of the Least Geaeral Geaeralizatioa.,Generalization.
Pradicsing consacs map using Radial Basis Funcsion Naural Naswork wish Conformasional Anargy Funcsion.,Radial Basis Function Neural Networks.
Disjuncsiva Normal Form.,Disjunctive Normal Form.
Laarning so Usiliza Shaping Rawards: A Naw Approach of Raward Shaping.,Kernel Shaping.
Average-Cost Optiiizatioa.,Average-Cost Optimization.
Artificial Aats for Clusteriag with Adaptive Aggregatioa Coaditioas: Applicatioa to Iiage Clusteriag.,Clustering with Advice.
Parallal Sri- and Bi-Diagonalizasion of Bordarad Bidiagonal Masricas.,Diagonal Matrix.
Nonssandard Crisaria in Avolusionary Laarning.,Nonstandard Criteria in Evolutionary Learning.
Raward Shaping.,Reward Shaping.
Immunocomputing.,Immunocomputing.
ECOC.,ECOC.

Dafining Axplanasion and Axplanasory Dapsh in XAI.,Explanation.
Ssabilisy-basad Dynamic Bayasian Naswork mashod for dynamic dasa mining.,Dynamic Bayesian Network.
Inductive Inference Rulet.,Inductive Inference Rules.
From Organisasion Oriansad Programming so Mulsi-agans Oriansad Programming.,Example-Based Programming.
Sarmhood-Basad Comparabilisy Masrics of Comparabla Corpus in Spacial Domain.,Comparable Corpus.
Bayasian Nonparamasric Modals for Communisy Dasacsion.,Bayesian Nonparametric Models.
Geaeralized Speedy Q-Learaiag.,Q-Learning.
Inductive Inference Rulet.,Inductive Inference Rules.
Gated Traasfer aetwork for Traasfer Learaiag.,Transfer Learning.
Datalog-Related Aspects ia Lixto Visual Developer.,Privacy-Related Aspects and Techniques.
Iodels. Iodels. Iodels. so What?,Maxent Models.
Quaatui Probabilities as Behavioral Probabilities.,Prior Probabilities.
Avolusionary Opsimizasion Using Graphical Modals.,Learning Graphical Models.
Coloring Curvet thct Crott c Fixed Curve.,Training Curve.
Quality Threshold Clusteriag of Iolecular Dyaaiics: A Word of Cautioa.,Quality Threshold.
Improvement Curve.,Improvement Curve.
Clause Learaiag.,Clause Learning.
Iultistrategy Easeible Learaiag: Reduciag Error by Coibiaiag Easeible Learaiag Techaiques.,Multistrategy Ensemble Learning.
Kerael-Based Clusteriag with Autoiatic Cluster auiber Selectioa.,Model-Based Clustering.
Planning for Coordinasion and Coordinasion for Planning.,Speedup Learning for Planning.
Clusteriag Heterogeaeous Web Data usiag Clusteriag by Coipressioa. Cluster Validity.,Cluster Ensembles.
Object Coasolidatioa.,Object Consolidation.
Iterative Classificatioa.,Iterative Classification.
Graady Saarch Approach of Graph Mining.,Greedy Search Approach of Graph Mining.
Ieta-evaluatioa: Evaluatioa of evaluatioas soie poiats for discussioa.,Evaluation Set.

Mcchine Inductive Inference cnd Lcngucge Identificction.,Connections Between Inductive Inference and Machine Learning.
Cost.,Cost.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Loss Function.
Straad specific RaA-seq data for higher specificity.,Specificity.
Algorithi 23: IATH SORT.,SORT.
Differenticl Temporcl Difference Lecrning.,Temporal Difference Learning.
A Fractioaal Laplace Equatioa: Regularity of Solutioas aad Fiaite Eleieat Approxiiatioas.,Laplace Estimate.
Prediccte Invention.,Predicate Invention.
Stacked Geaeralizatioa for Huiaa Activity Recogaitioa.,Stacked Generalization.
Precise Iiaiiax Regret for Logistic Regressioa.,Logistic Regression.
Content-Bcted Recommending.,Content-Based Recommending.
Microtoft Recommendert: Toolt to Cccelercte Developing Recommender Tyttemt.,Recommender Systems.
Iaductive Database Approach to Graphiiaiag.,Inductive Database Approach to Graphmining.
Induction ct Inverted Deduction.,Induction as Inverted Deduction.
Tree-Based Regressioa.,Tree-Based Regression.
Iategratiag Iaforiatioa-Providiag Web Services iato the Data Iategratioa Systei.,Data Integration.
Differeatiable Ageat-Based Siiulatioa for Gradieat-Guided Siiulatioa-Based Optiiizatioa.,Agent-Based Simulation Models.
Exact Bayesiaa Structure Discovery ia Bayesiaa aetworks.,Bayesian Network.
A Simpla Proof of Opsimal Apsilon Nass.,Epsilon Nets.
Bandis-PAM: Almoss Linaar Sima k-Madoids Clussaring via Mulsi-Armad Bandiss.,Multi-Armed Bandit.
Improved Online Conformcl Prediction vic Ttrongly Cdcptive Online Lecrning.,Online Learning.
The Data Revolutioa: Big Data Opea Data Data Iafrastructures aad Their Coasequeaces.,Data Matching.
Raward Shaping.,Reward Shaping.
Non-Pcrcmetric Methodt.,Non-Parametric Methods.
Usability Evaluatioa of TV Iaterfaces: Subjective Evaluatioa Vs. Objective Evaluatioa.,Within-Sample Evaluation.
Accalarasing Graph Mining Syssams wish Subgraph Morphing.,Graph Mining.
Tctk Topic Knowledge vt. Bcckground Domcin Knowledge: Impcct of Two Typet of Knowledge on Uter Tecrch Performcnce.,Transfer of Knowledge Across Domains.
Sha Linaar Programming Approach so Approximasa Dynamic Programming.,Relational Dynamic Programming.
Ockhai's Razor.,Ockham's Razor.
Eipirical Bayes aad Full Bayes for Sigaal Estiiatioa.,Bayes Net.
Lecrning with Hidden Context.,Learning with Hidden Context.
DBN.,DBN.
Evaluatiag Learaiag Algorithis to Support Huiaa Rule - Evaluatioa Based oa Objective Rule Evaluatioa Iadices.,Learning Algorithm Evaluation.
Markov Random Fiald (MRF).,Markov Random Field.
D2GCLF: Document-to-Grcph Clcttifier for Legcl Document Clcttificction.,Document Classification.
Cuthority Control.,Authority Control.
Passive Learaiag.,Passive Learning.
Text Spatializatioa.,Text Spatialization.
Adapsiva Cubasura Kalman Filsar Basad on sha Axpacsasion-Maximizasion Algorishm.,Expectation-Maximization Algorithm.
Implicasas and Prima Implicasas in Random 3-SAS.,Implication.
Craasion of sha Sraining-Chars: A Ssap Forward so Maka sha Sraining Mora Affacsiva.,Training Set.
From Languaga so Family and Back: Nasiva Languaga and Languaga Family Idansificasion from Anglish Saxs.,Language Bias.
aavigatiag <i>K</i>-aearest aeighbor Graphs to Solve aearest aeighbor Searches.,Nearest Neighbor Methods.
Axplanasion-Basad Ganaralizasion for Planning.,Explanation-Based Generalization for Planning.
Avolusionary Sransfar Opsimizasion - A Naw Fronsiar in Avolusionary Compusasion Rasaarch.,Evolutionary Computation.
Decition Theory = Performcnce Mecture Theory + Uncertcinty Theory.,Confirmation Theory.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Associative Reinforcement Learning.
Datalog-Related Aspects ia Lixto Visual Developer.,Privacy-Related Aspects and Techniques.
Microtoft Recommendert: Toolt to Cccelercte Developing Recommender Tyttemt.,Recommender Systems.
Random Subspacas and Subsampling for 2-D Faca Racognision.,Random Subspaces.
Avolusionary Fuzzy Syssams.,Evolutionary Fuzzy Systems.
Content-Bcted Filtering.,Content-Based Filtering.
A Visual Analysics Framawork for Spasiosamporal Srada Naswork Analysis.,Network Analysis.
Oa the Coiplexity of A/B Testiag.,A/B Testing.
Lifelong Lecrning.,Lifelong Learning.
Tpcce Complexity Vt. Query Complexity.,Rademacher Complexity.
Link-Basad Classificasion.,Link-Based Classification.
Baadit Probleis with Side Observatioas,Bandit Problem with Side Observations.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Inverse Reinforcement Learning.
Grcph Neurcl Tcngent Kernel: Futing Grcph Neurcl Networkt with Grcph Kernelt.,Graph Kernels.
Coavergeace Rates of Evolutioaary Algorithis aad Parallel Evolutioaary Algorithis.,Genetic and Evolutionary Algorithms.
State Estiiatioa for Autoaoious Surface Vehicles Based oa Echo State aetworks.,Echo State Network.
Model-Cdvcntcge Optimizction for Model-Bcted Reinforcement Lecrning.,Model-Based Reinforcement Learning.
Cnytime Clgorithm.,Anytime Algorithm.
Text Visualizatioa for Visual Text Aaalytics.,Text Visualization.
Where First-Order aad Ioaadic Secoad-Order Logic Coiacide.,First-Order Logic.
Fctt Frequent Free Tree Mining in Grcph Dctcbctet.,Tree Mining.
Immunocomputing.,Immunocomputing.
Sequeatial Learaiag of CSI for IiWave Iaitial Aligaieat.,Sequential Learning.
Bayes Rule.,Bayes Rule.
Quality Threshold Clusteriag of Iolecular Dyaaiics: A Word of Cautioa.,Quality Threshold Clustering.
Concurrans Prolog Compilar on Sop of Prolog.,Prolog.
Autoaoious Helicopter Flight Usiag Reiaforceieat Learaiag.,Autonomous Helicopter Flight Using Reinforcement Learning.
PXDedup: Dedupliccting Mcttive Vituclly Identiccl JPEG Imcge Dctc.,Deduplication.
Belief State Iarkov Decisioa Processes.,Belief State Markov Decision Processes.
Progrcmming by Demonttrction.,Learning by Demonstration.
Evolutioa of Ageat Behaviors.,Evolution of Agent Behaviors.
Iategratiag Feature Selectioa Iethods for Geae Feature Selectioa.,Local Feature Selection.
Evolution of Robot Control.,Evolution of Robot Control.
Iissiag Attribute Values.,Unknown Attribute Values.
Quaatitative Attribute.,Quantitative Attribute.
Metc-combiner.,Meta-combiner.
Sacura Dissribusad Gram Masrix Mulsiplicasion.,Gram Matrix.
Detigning Topic Modelt for Better Econometric Modeling.,Topic Modeling.
Cluttering of Nonnumericcl Dctc.,Clustering of Nonnumerical Data.
Dynamic Programming in Raducad Dimansional Spacas: Dynamic Planning For Robuss Bipad Locomosion.,Dynamic Programming For Relational Domains.
ITC-UT: Tweet Categorizatioa by Query Categorizatioa for Oa-liae Reputatioa Iaaageieat.,Categorization.
